x (miles),y (miles)
0,0
0.264678974,0.032498492
0.529357948,0.064996983
0.794036921,0.097495475
1.058715895,0.129993966
1.323394869,0.162492458
1.588073843,0.194990949
1.852752816,0.227489441
2.11743179,0.259987933
2.382110764,0.292486424
2.646789738,0.324984916
2.911468711,0.357483407
3.176147685,0.389981899
3.440826659,0.42248039
3.705505633,0.454978882
3.970184607,0.487477374
4.278927146,0.7407541
4.587669686,0.994030827
4.896412226,1.247307553
5.205154765,1.50058428
5.513897305,1.753861006
5.822639845,2.007137733
6.131382385,2.260414459
6.440124924,2.513691186
6.748867464,2.766967912
7.057610004,3.020244638
7.366352543,3.273521365
7.675095083,3.526798091
7.983837623,3.780074818
8.292580162,4.033351544
8.601322702,4.286628271
8.910065242,4.539904997
4.089413852,0.96264566
4.208643097,1.437813945
4.327872341,1.912982231
4.447101586,2.388150517
4.566330831,2.863318802
4.685560076,3.338487088
4.80478932,3.813655373
4.924018565,4.288823659
5.04324781,4.763991945
5.162477055,5.23916023
5.281706299,5.714328516
5.400935544,6.189496802
5.520164789,6.664665087
5.639394034,7.139833373
5.758623278,7.615001658
5.877852523,8.090169944
